iter	Passed	Remaining
0	15	15368
1	30	15426
2	45	15236
3	60	14971
4	74	14853
5	89	14806
6	104	14769
7	118	14671
8	135	14877
9	154	15252
10	173	15556
11	190	15723
12	210	15974
13	225	15850
14	239	15730
15	254	15679
16	269	15572
17	288	15724
18	303	15659
19	317	15569
20	332	15522
21	347	15470
22	362	15397
23	376	15318
24	391	15274
25	406	15216
26	417	15061
27	431	14993
28	444	14881
29	458	14837
30	473	14813
31	488	14774
32	503	14739
33	517	14707
34	532	14677
35	546	14645
36	561	14616
37	576	14592
38	590	14555
39	605	14533
40	620	14502
41	634	14470
42	648	14439
43	663	14408
44	677	14387
45	692	14358
46	706	14331
47	721	14311
48	735	14283
49	749	14248
50	764	14222
51	778	14192
52	792	14169
53	807	14143
54	822	14128
55	836	14107
56	851	14088
57	865	14056
58	880	14035
59	894	14008
60	908	13978
61	923	13970
62	937	13938
63	951	13913
64	965	13887
65	979	13866
66	994	13849
67	1009	13830
68	1023	13808
69	1037	13782
70	1051	13761
71	1065	13730
72	1079	13710
73	1094	13691
74	1108	13677
75	1122	13653
76	1137	13631
77	1151	13608
78	1165	13582
79	1179	13565
80	1194	13550
81	1209	13540
82	1229	13578
83	1246	13594
84	1267	13647
85	1286	13677
86	1304	13684
87	1319	13673
88	1333	13645
89	1347	13624
90	1361	13602
91	1375	13574
92	1389	13553
93	1402	13516
94	1416	13496
95	1430	13475
96	1445	13455
97	1459	13430
98	1474	13417
99	1488	13398
100	1503	13378
101	1518	13366
102	1532	13348
103	1546	13323
104	1560	13302
105	1575	13288
106	1589	13265
107	1603	13244
108	1617	13223
109	1632	13207
110	1646	13187
111	1660	13167
112	1674	13147
113	1688	13125
114	1703	13108
115	1717	13091
116	1732	13071
117	1746	13053
118	1760	13035
119	1774	13012
120	1788	12994
121	1802	12975
122	1816	12953
123	1831	12942
124	1846	12923
125	1859	12901
126	1874	12884
127	1889	12870
128	1903	12852
129	1917	12832
130	1931	12815
131	1945	12796
132	1960	12779
133	1975	12765
134	1989	12748
135	2003	12728
136	2018	12713
137	2032	12693
138	2046	12677
139	2060	12658
140	2074	12640
141	2089	12625
142	2104	12612
143	2119	12598
144	2133	12578
145	2148	12565
146	2160	12539
147	2175	12523
148	2189	12506
149	2204	12491
150	2218	12476
151	2233	12459
152	2248	12448
153	2266	12449
154	2280	12433
155	2292	12402
156	2309	12402
157	2329	12412
158	2347	12417
159	2366	12422
160	2385	12429
161	2403	12432
162	2417	12415
163	2431	12397
164	2446	12381
165	2461	12365
166	2475	12347
167	2488	12323
168	2503	12308
169	2517	12293
170	2530	12267
171	2541	12237
172	2556	12222
173	2570	12203
174	2585	12186
175	2599	12169
176	2613	12152
177	2628	12140
178	2643	12124
179	2659	12114
180	2675	12104
181	2689	12088
182	2704	12074
183	2719	12058
184	2731	12034
185	2746	12019
186	2761	12004
187	2775	11986
188	2789	11970
189	2803	11953
190	2818	11937
191	2833	11923
192	2847	11907
193	2862	11893
194	2877	11880
195	2892	11863
196	2906	11848
197	2920	11830
198	2934	11812
199	2948	11794
200	2961	11771
201	2975	11754
202	2989	11737
203	3001	11712
204	3016	11696
205	3029	11677
206	3044	11663
207	3058	11645
208	3072	11628
209	3087	11613
210	3101	11596
211	3115	11579
212	3129	11564
213	3144	11550
214	3158	11531
215	3173	11517
216	3187	11501
217	3201	11485
218	3216	11469
219	3229	11451
220	3246	11443
221	3265	11442
222	3280	11430
223	3295	11417
224	3310	11404
225	3324	11385
226	3338	11369
227	3353	11354
228	3368	11340
229	3382	11325
230	3400	11318
231	3418	11317
232	3436	11313
233	3454	11309
234	3473	11307
235	3493	11309
236	3508	11293
237	3522	11277
238	3536	11260
239	3550	11243
240	3565	11228
241	3579	11211
242	3593	11194
243	3608	11179
244	3622	11163
245	3637	11147
246	3651	11131
247	3665	11114
248	3677	11093
249	3692	11077
250	3706	11060
251	3718	11037
252	3732	11020
253	3747	11006
254	3761	10990
255	3775	10972
256	3789	10956
257	3804	10941
258	3818	10924
259	3832	10908
260	3847	10893
261	3861	10878
262	3874	10857
263	3888	10840
264	3902	10824
265	3916	10807
266	3930	10789
267	3944	10772
268	3958	10756
269	3970	10735
270	3984	10719
271	3996	10697
272	4011	10681
273	4025	10665
274	4040	10651
275	4054	10636
276	4069	10621
277	4083	10605
278	4098	10590
279	4112	10575
280	4127	10560
281	4141	10545
282	4156	10529
283	4170	10513
284	4184	10497
285	4199	10482
286	4212	10466
287	4227	10450
288	4242	10437
289	4257	10424
290	4269	10403
291	4284	10388
292	4299	10373
293	4313	10357
294	4327	10342
295	4342	10326
296	4363	10327
297	4382	10324
298	4397	10309
299	4411	10293
300	4426	10278
301	4440	10263
302	4454	10247
303	4468	10231
304	4483	10217
305	4500	10205
306	4518	10198
307	4536	10192
308	4552	10181
309	4571	10174
310	4589	10168
311	4603	10150
312	4615	10130
313	4630	10117
314	4644	10099
315	4658	10083
316	4673	10068
317	4687	10052
318	4701	10036
319	4716	10021
320	4730	10006
321	4742	9985
322	4754	9965
323	4766	9944
324	4780	9928
325	4794	9913
326	4808	9897
327	4823	9882
328	4837	9865
329	4851	9850
330	4863	9829
331	4877	9813
332	4889	9794
333	4904	9779
334	4916	9758
335	4927	9736
336	4941	9720
337	4955	9705
338	4969	9690
339	4984	9675
340	4998	9660
341	5013	9645
342	5027	9629
343	5041	9613
344	5055	9598
