city,city_development_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,>20,100-500,Private,1,36.0
40,0.7760000228881836,Male,No,Not,Bachelors,STEM,15,50-99,Private,>4,47.0
21,0.6240000128746033,Male,No,FullTime,Bachelors,STEM,5,100-500,Private,never,83.0
115,0.7889999747276306,Male,No,Not,Bachelors,Business,<1,50-99,Private,never,52.0
162,0.7670000195503235,Male,Yes,Not,Masters,STEM,>20,50-99,FundedStartup,4,8.0
176,0.7639999985694885,Male,Yes,PartTime,Bachelors,STEM,11,50-99,Private,1,24.0
160,0.9200000166893005,Male,Yes,Not,HighSchool,None,5,50-99,FundedStartup,1,24.0
46,0.7620000243186951,Male,Yes,Not,Bachelors,STEM,13,<10,Private,>4,18.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,7,50-99,Private,1,46.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,17,10000+,Private,>4,123.0
21,0.6240000128746033,Male,No,FullTime,HighSchool,None,2,50-99,Private,never,32.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,5,5000-9999,Private,1,108.0
61,0.9129999876022339,Male,Yes,Not,Bachelors,STEM,>20,1000-4999,Private,3,23.0
21,0.6240000128746033,Male,No,FullTime,Bachelors,STEM,2,50-99,Private,never,24.0
21,0.6240000128746033,Male,No,FullTime,HighSchool,None,5,100-500,Private,never,26.0
114,0.9259999990463257,Male,Yes,Not,Bachelors,STEM,16,10-49,Private,>4,18.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,1,50-99,Private,never,106.0
21,0.6240000128746033,Male,Yes,Not,Bachelors,STEM,2,5000-9999,Private,2,7.0
21,0.6240000128746033,Male,Yes,Not,Bachelors,STEM,7,10000+,Private,never,23.0
13,0.8270000219345093,Female,Yes,Not,Bachelors,Arts,4,50-99,Private,1,132.0
159,0.8429999947547913,Male,Yes,Not,Masters,STEM,11,100-500,Private,1,68.0
114,0.9259999990463257,Male,Yes,Not,Masters,STEM,11,100-500,Private,2,50.0
102,0.8040000200271606,Male,Yes,Not,Masters,STEM,10,500-999,Private,1,48.0
40,0.7760000228881836,Male,Yes,Not,Bachelors,Humanities,<1,1000-4999,Private,1,65.0
21,0.6240000128746033,Male,Yes,Not,Bachelors,STEM,5,1000-4999,Private,1,13.0
67,0.8550000190734863,Male,No,Not,HighSchool,None,4,10000+,Private,never,22.0
21,0.6240000128746033,Male,Yes,PartTime,Bachelors,STEM,14,500-999,Private,1,148.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,Arts,5,100-500,Private,2,72.0
100,0.8870000243186951,Male,Yes,Not,HighSchool,None,11,<10,Private,1,8.0
21,0.6240000128746033,Male,Yes,Not,Bachelors,STEM,18,50-99,FundedStartup,2,68.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,>20,100-500,Private,3,40.0
103,0.9200000166893005,Male,Yes,PartTime,Bachelors,STEM,19,5000-9999,Private,>4,141.0
103,0.9200000166893005,Female,No,FullTime,Bachelors,STEM,5,500-999,Private,1,24.0
